1A0,Katrina Group Ltd.
1A1,Wong Fong Industries Limited
1A4,Agv Group Limited
1A5W,Eindec Corporation  W190822
1B0,Mm2 Asia Ltd.
1B1,Hc Surgical Specialistslimited
1B5W,Charisma Energyservicesw211128
1B6,Ocean Sky International Ltd
1C0,Cedar Strategic Holdings Ltd
1C3,Samurai 2k Aerosol Limited
1C4W,Abundance Internationalw210130
1C5,Pacific Star Development Ltd
1C9W,Asiaphos Limited W200323
1D0,Kimly Limited
1D1,Unusual Limited
1D3,Lifebrandz Ltd.
1D4,Aoxin Q & M Dental Grp Limited
1D5,Capital World Limited.
1D8,Singapore O&g Ltd.
1E0W,3cnergy Limited W200528
1E3,Sanli Environmental Limited
1E6,World Class Global Limited
1E7W,Viking Offshore And Ma W220701
1F0,Shopper360 Limited
1F1,Y Ventures Group Ltd.
1F2,Union Gas Holdings Limited
1F3,Aspen (group) Holdings Limited
1F4,Vashion Group Ltd.
1F9W,Koh Brothers Eco Engg W211112
1G1,Re&s Holdings Limited
1G5W,Cwx Global Limited W221213
1G6,No Signboard Holdings Ltd.
1G7W,Amplefield Limited W221218
1H2,Olive Tree Estates Limited
1H3,Clearbridge Health Limited
1H4,Memories Group Limited
1H7W,Asia-pacific Strategic W230130
1H8,Ly Corporation Limited
1I2W,Jubilee Ind Hldgs Ltd.w200301
1I3W,Vashion Group Ltd. W210311
1I5,Ayondo Ltd.
1J0,Slb Development Ltd.
1J1W,Pine Capital Group W230506
1J3,Asian Healthcare Specialists
1J4,Jep Holdings Ltd.
1J5,Hyphens Pharma Intl Limited
1J6W,Jep Holdings Ltd.w191220
1J7,Jawala Inc.
3UJS,Ny09100h 240901
40B,Smj International Holdingsltd.
40D,Starburst Holdings Limited
40E,Spackman Entertainment Grp Ltd
40F,Alliance Mineral Assetslimited
40N,Versalink Holdings Limited
40R,Serrano Limited
40S,Perennial Real Estate Hldgsltd
40T,Isec Healthcare Ltd.
40U,Ms Holdings Limited
40V,Singapore Edevelopment Ltd
40W,Zico Holdings Inc.
41A,Ug Healthcare Corporation Ltd
41B,Huationg Global Limited
41F,Gss Energy Limited
41H,Blackgold Natural Resourcesltd
41O,Lhn Limited
41S,Magnus Energy Group Ltd.
41T,Gccp Resources Limited
42C,Ix Biopharma Ltd.
42D,Nauticawt Limited
42E,Choo Chiang Holdings Ltd.
42F,Cmc Infocomm Limited
42G,Soo Kee Group Ltd.
42L,Tlv Holdings Limited
42N,Ips Securex Holdings Limited
42O,Ems Energy Limited
42QW,Asia-pacific Strategic W201119
42R,Jumbo Group Limited
42S,Astaka Holdings Limited
42T,The Trendlines Group Ltd.
42U,Axcelasia Inc.
42W,China Star Food Group Limited
42Z,Eindec Corporation Limited
43A,Gs Holdings Limited
43B,Secura Group Limited
43E,Anchor Resources Limited
43F,Acromec Limited
43MW,Starburst Holdings Ltd W210614
43P,United Global Limited
43Q,Advancer Global Limited
500,Tai Sin Electric Limited
502,Hsr Global Limited
504,Klw Holdings Ltd
505,Asiamedic Limited
508,Fuji Offset Plates Mfg Ltd
510,Hiap Seng Engineering Ltd
528,Second Chance Properties Ltd
52AW,Ocbc Bk Mb Epw190708
52VW,Hsi 29600 Mbecw190730
532,DISA
533,Abr Holdings Limited
539,Cph Ltd
540,Tung Lok Restaurants 2000 Ltd
541,Craft Print International Ltd
543,Noel Gifts International Ltd
544,Cse Global Ltd
546,Medtecs International Corp Ltd
554,King Wan Corporation Limited
557,Viking Offshore And Marine Ltd
558,Ums Holdings Limited
561,Teckwah Industrial Corp Ltd
564,Spindex Industries Limited
566,See Hup Seng Limited
567,Colex Holdings Limited
569,Vicplas International Ltd
570,Transit-mixed Concrete Ltd
571,International Press Softcom
573,Challenger Technologies Ltd
575,Asti Holdings Limited
578,Ks Energy Limited
579,Oceanus Group Limited
580,Santak Holdings Limited
581,Ite Electric Co Ltd
583,Progen Holdings Ltd
584,Oakwell Engineering Limited
585,Asian Micro Holdings Ltd
586,Tmc Education Corporation Ltd
588,Health Management Intl Ltd
58CW,Tencenthld Mb Ecw190926
594,Loyz Energy Limited
595,Van Der Horst Energy Limited
596,Thai Village Holdings Ltd
5A1B,Astrea V3.85%b290620#
5AB,Trek 2000 Int'l Ltd
5AE,Pollux Properties Ltd.
5AI,Sunlight Group Hldg Ltd
5AL,Annica Holdings Limited
5AM,Asiatravel.com Holdings Ltd
5AU,Ap Oil International Limited
5BI,Carriernet Global Ltd
5BS,Pne Micron Holdings Ltd
5CF,Okp Holdings Limited
5CJ,Chinese Global Investors Group Ltd
5CN,Sinwa Limited
5CP,Silverlake Axis Ltd
5CQ,Technics Oil & Gas Limited
5CR,Asiatic Group (holdings) Ltd
5CT,Ecowise Holdings Limited
5DD,Micro-mechanics (holdings) Ltd
5DL,Koon Holdings Limited
5DM,Ying Li Intl Real Estate Ltd
5DN,Ezra Holdings Limited
5DO,Sakae Holdings Ltd.
5DP,Heeton Holdings Limited
5DS,Megachem Limited
5DW,Renewable Energy Asia Grp Ltd
5DX,Metal Component Engg Ltd
5EB,Cfm Holdings Limited
5EC,ISR Capital
5EF,Adventus Holdings Limited
5EG,New Lakeside Holdings Limited
5EK,Armarda Group Limited
5EL,Lasseters Intl Holdings Ltd
5EN,Midas Hldgs Limited
5ET,Asiasons Capital Limited
5EV,Hosen Group Ltd
5EW,Pan Asian Holdings Limited
5F4,Figtree Holdings Limited
5F7,Hartawan Hldgs Ltd
5FH,Advance Sct Limited
5FL,Falcon Energy Group Limited
5FW,Linair Technologies Limited
5FX,New Wave Holdings Ltd.
5G1,Eurosports Global Limited
5G2,Kimheng Offshore&marine Hldltd
5G3,Talkmed Group Limited
5G4,Infinio Group Limited
5G9,Tritech Group Limited
5GC,Cna Group Ltd.
5GD,Sunpower Group Ltd.
5GF,Nico Steel Holdings Limited
5GI,Interra Resources Limited
5GJ,Ausgroup Limited
5GZ,Aa Group Holdings Ltd.
5H0,Singhaiyi Group Ltd.
5HC,Ntegrator International Ltd
5HG,Oniontech Limited
5HH,Hln Technologies Limited
5HT,Communication Design Intl Ltd
5HV,Metax Engineering Corp Limited
5I0,Qt Vascular Ltd.
5I1,Kop Limited
5I4,Icp Ltd
5IC,Sing Holdings Limited
5IE,Lorenzo International Limited
5IF,Natural Cool Holdings Limited
5IG,Gallant Venture Ltd.
5JK,Hiap Hoe Limited
5JS,Indofood Agri Resources Ltd.
5KI,Soup Restaurant Group Limited
5KT,Fujian Zhenyun Plas Ind Co Ltd
5LE,Sitra Holdings (intl) Limited
5LY,Marco Polo Marine Ltd.
5MD,Soon Lian Holdings Limited
5ME,Ezion Holdings Limited
5ML,Old Chang Kee Ltd.
5MM,Sky One Holdings Limited
5MQ,Epicentre Holdings Limited
5MS,Memstar Technology Ltd.
5MZ,Kingsmen Creatives Ltd
5NF,Mencast Holdings Ltd.
5NG,Healthway Medical Corp Ltd
5NK,Artivision Technologies Ltd.
5NV,Chasen Holdings Limited
5OC,Koyo International Limited
5OI,Japan Foods Holding Ltd.
5OQ,Teho International Inc Ltd.
5OR,Heatec Jietong Holdings Ltd.
5OS,Jlj Holdings Limited
5OT,Singapore Medical Group Ltd
5OU,China Environment Ltd.
5OX,Mary Chia Holdings Limited
5PC,Goodland Group Limited
5PD,Hengyang Petrochem Log Limited
5PF,Jason Marine Group Limited
5PI,Plato Capital Limited
5PL,Sbi Offshore Limited
5PO,Hiap Tong Corporation Ltd.
5QR,Mann Seng Metal Intl Limited
5QT,Charisma Energy
5QY,Net Pacific Fin Hldgs Ltd
5RA,Asia-pacific Strategic Inv Ltd
5RC,Es Group (holdings) Limited
5RE,Smartflex Holdings Ltd
5RF,Friven & Co. Ltd.
5RJ,We Holdings Ltd.
5SO,Duty Free Internationallimited
5SR,Zhongmin Baihui Retail Grp Ltd
5SY,Chew's Group Limited
5TG,800 Super Holdings Limited
5TI,Kitchen Culture Holdings Ltd.
5TJ,Far East Group Limited
5TN,Iev Holdings Limited
5TP,Cnmc Goldmine Holdings Limited
5TR,Libra Group Limited
5TS,Jk Tech Holdings Limited
5TT,Keong Hong Holdings Limited
5TW,Chaswood Resources Hldgs Ltd.
5TY,Advanced Systems Automation
5UA,Starland Holdings Limited
5UF,Maxi-cash Fin Svcs Corp Ltd
5UJ,Neo Group Limited
5UL,Atlantic Navigation Hldg(s)ltd
5UN,Sincap Group Limited
5UO,Sysma Holdings Limited
5UX,Oxley Holdings Limited
5VC,Kori Holdings Limited
5VI,Logistics Holdings Limited
5VJ,Halcyon Agri Corporation Ltd
5VP,Gds Global Limited
5VS,Hafary Holdings Limited
5WA,Intl Healthway Corp Limited
5WD,Ps Group Holdings Ltd.
5WE,Moya Holdings Asia Limited
5WF,Isoteam Ltd.
5WG,Singapore Kitchen Equipmentltd
5WH,Rex International Holding Ltd
5WJ,Moneymax Financial Servicesltd
5WV,Asiaphos Limited
5XKW,Simsci 380 Mbl Ecw190628
600,Hyflux Ltd
6HZW,Hsi31200mbecw191230
6SUS,Ny05100n 200901
7PMS,Ny07100x 220901
7QQS,Nz07100s 270301
8I9W,Arion Entertainment Sinw200505
8YY,Biolidics Limited
9EHW,Hsi27600mbecw190829
9HSW,Dlc Socgen7xlonghsc 210723
9K9W,Dbs Mb Ecw200102
9KRW,Hsi 27600 Mb Epw190730
9SDW,Singtel Mb Ecw191101
9WBW,Hsi29200mbecw190829
A04,Asl Marine Holdings Ltd
A05,Avjennings Limited
A13,Allied Technologies Limited
A17U,Ascendas Real Estate Inv Trust
A26,Sinarmas Land Limited
A27,Mdr Limited
A30,Aspial Corporation Limited
A31,Addvalue Technologies Ltd
A33,Blumont Group Ltd.
A34,Amara Holdings Ltd
A35,Abf Spore Bond Index Fund Etf
A50,Rowsley Ltd.
A52,Annaik Limited
A55,Asia Enterprises Holding Ltd
A68U,Ascott Residence Trust
A75,Ace Achieve Infocom Limited
A78,Liongold Corp Ltd
A7RU,Cityspring Infrastruct Trust
A7S,Sunvic Chemical Holdings Ltd
AAJ,Sunmoon Food Company Limited
ACV,Frasers Hospitality Trust
AD8,Sino Techfibre Limited
ADJ,Ols Enterprise Ltd.
ADN,First Sponsor Group Limited
ADP,Swissco Holdings Limited
ADQU,Accordia Golf Trust
AFC,Yuuzoo Corporation
AFUS,Nx15100z 250601
AFVS,N515100s 200701
AGS,The Hour Glass Limited
AIY,Ifast Corporation Ltd.
AJ2,Ouhua Energy Holdings Limited
AJBU,Keppel Dc Reit
AJHW,Shs Holdings W191216
AOF,Amplefield Limited
AP4,Riverstone Holdings Limited
AU8U,Capitaretail China Trust
AUE,United Fiber System Limited
AVM,Boustead Projects Limited
AVV,Cei Contract Manufacturing Ltd
AVX,Hl Global Enterprises Limited
AW9U,First Real Estate Inv Trust
AWC,Lindeteves-jacoberg Ltd
AWE,Sp Corporation Limited
AWG,Aei Corporation Ltd
AWI,Thakral Corporation Ltd
AWK,Fuxing China Group Limited
AWM,Shanghai Turbo Enterprises Ltd
AWO,Mirach Energy Limited
AWS,Global Yellow Pages Limited
AWV,Captii Limited
AWX,Aem Holdings Ltd
AWZ,Multi-chem Limited
AXB,Yongnam Holdings Limited
AXXZ,Fcl Trea S$500m3.65%b220522
AYB,Lafe Corporation Limited
AYD,Plastoform Holdings Limited
AYL,Star Pharmaceutical Limited
AYN,Global Testing Corporation Ltd
AYV,Acma Ltd.
AZA,Ipc Corporation Limited
AZG,8telecom Intl Holdings Co Ltd
AZR,United Food Holdings Limited
AZT,Lottvision Limited
AZW,China Taisan Tech Grp Hldgsltd
AZY,Pan Ocean Co., Ltd.
AZZ,China Gaoxian Fibrefab Hldgltd
B07,Next-gen Satellite Comm Ltd
B0I,Foreland Fabrictech Hlds Ltd
B0Z,China Fishery Group Limited
B10,Boardroom Limited
B16,Guocoleisure Limited
B26,Ban Leong Technologies Limited
B28,Bonvests Holdings Ltd
B49,World Precision Machinery Ltd
B58,Banyan Tree Holdings Limited
B61,Bukit Sembawang Estates Ltd
B66,Pt Berlian Laju Tanker Tbk
B69,Broadway Industrial Group Ltd
B73,Global Investments Limited
B7K,Sin Ghee Huat Corporation Ltd.
B9S,Cosmosteel Holdings Limited
BAC,Jacks International Limited
BAI,S I2i Limited
BAZ,Lion Asiapac Ltd
BBP,Hor Kew Corporation Limited
BBW,Azeus Systems Holdings Ltd.
BCD,China Yuanbang Prop Hldgs Ltd
BCV,Qian Hu Corporation Limited
BCY,Powermatic Data Systems Ltd
BCZ,Travelite Holdings Ltd.
BDA,Pne Industries Ltd
BDF,Excelpoint Technology Ltd
BDN,Ryobi Kiso Holdings Ltd.
BDR,Willas-array Elec (hldgs) Ltd
BDU,Federal Int(2000) Ltd
BDX,Gsh Corporation Limited
BEC,Brc Asia Limited
BEH,China International Hldgs Ltd
BEI,Lht Holdings Limited
BEV,Swing Media Technology Grp Ltd
BEW,Jb Foods Limited
BEYZ,Aspial Trea S$150m5.25%b200828
BEZ,Beng Kuang Marine Limited
BFI,Tiong Seng Holdings Limited
BFK,Pharmesis International Ltd.
BFT,Fabchem China Limited
BFU,Tye Soon Ltd
BGK,Swiber Holdings Limited
BGO,Universal Resource & Svcs Ltd
BHD,China Mining International Ltd
BHK,Siic Environment Holdings Ltd.
BHO,Top Global Limited
BHQ,Sunningdale Tech Ltd
BHU,Sutl Enterprise Limited
BIP,Vibrant Group Limited
BIX,Ellipsiz Ltd
BJD,Vibropower Corporation Limited
BJFZ,Oxley Mtn S$300m 5% B191105
BJGS,Na16100h 460301
BJHS,Nx16100f 260601
BJIS,Nz16100x 360801
BJJS,N516100z 211001
BJL,Longcheer Holdings Limited
BJV,Yamada Green Resources Limited
BJW,Shinvest Holding Ltd.
BJZ,Koda Ltd
BKA,Sin Heng Heavy Machinery Ltd
BKK,Luxking Group Holdings Limited
BKV,Dukang Distillers Hldgs Ltd
BKW,Datapulse Technology Limited
BKX,Yongmao Holdings Limited
BKY,Avi-tech Electronics Limited
BKZ,Suntar Eco-city Limited
BLA,Union Steel Holdings Limited
BLH,Hai Leck Holdings Limited
BLL,Psl Holdings Ltd
BLR,Darco Water Technologies Ltd
BLS,Hotung Investment Hldgs Ltd
BLU,Grp Ltd
BLW,Global Palm Resources Hlgs Ltd
BLZ,Advanced Holdings Ltd.
BMGU,Bhg Retail Reit
BMH,Hupsteel Ltd
BMNW,Csc Holdings W201229
BMT,New Silkroutes Group Limited
BN2,Valuetronics Holdings Limited
BN4,Keppel Corporation Limited
BNE,Kencana Agri Limited
BOL,Memtech International Ltd
BOU,Informatics Education Ltd.
BPF,Yhi International Limited
BQC,Xpress Holdings Ltd
BQD,Envictus International Hldgltd
BQF,Xmh Holdings Ltd.
BQI,Asia Fashion Holdings Limited
BQM,Tiong Woon Corp Holding Ltd
BQN,Bh Global Corporation Limited
BQO,Delong Holdings Limited
BQP,Southern Packaging Group Ltd
BR9,China Hongxing Sports Limited
BRD,Sapphire Corporation Limited
BRE,Linc Energy Ltd
BRQZ,Aspial Trea S$200m5.3%b200401
BRR,The Stratech Group Limited
BRS,Usp Group Limited
BS6,Yangzijiang Shipbldg Hldgs Ltd
BSHW,Ezion Holdings W200424
BSKZ,Perennial S$280m4.55%n200429
BSL,Raffles Medical Group Ltd
BTE,Bund Center Investment Ltd
BTF,Debao Property Development Ltd
BTG,Hg Metal Manufacturing Ltd
BTJ,A-sonic Aerospace Limited
BTM,Penguin International Limited
BTNZ,Oxley Mtn S$150m 5.15%b200518
BTOU,Manulife Us Reit
BTP,Baker Technology Limited
BTWZ,Hyflux S$500m6%perpcapsec
BTX,Anchun International Hldgs Ltd
BTY,Full Apex (holdings) Limited
BUOU,Frasers Logistics & Ind Trust
BUPW,Soilbuild Construction W210715
BVA,Top Glove Corporation Bhd
BVP,Aims Property Securities Fund
BVQ,Procurri Corporation Limited
BWCU,Ec World Reit
BWM,China Jinjiang Env Hldg Co Ltd
BWQU,Frasers Logistics&ind Trustaud
BXE,Cdw Holding Limited
BXLW,Ramba Energy Limited W190918
BYI,Phillip Sgx Apac Div Reit Etf
BYJ,Phillip Sgx Apacdiv Reit Etfs$
BZKS,N517100f 220401
C04,Casa Holdings Limited
C05,Chemical Industries (f.e.) Ltd
C06,Csc Holdings Ltd
C07,Jardine Cycle & Carriage Ltd
C09,City Developments Limited
C13,Ch Offshore Ltd
c29,Chip Eng Seng Corporation Ltd
C2PU,Parkwaylife Reit
C31,Capitaland Limited
C33,Chuan Hup Holdings Limited
C38U,Capitamall Trust
C41,Cortina Holdings Limited
C50,Cheung Woh Technologies Ltd
C52,Comfortdelgro Corporation Ltd
C61U,Capitacommercial Trust
C6L,Singapore Airlines Ltd
C70,City Developments Ltd Nccps
C71,China Paper Holdings Limited
C76,Creative Technology Ltd
C8R,Jiutian Chemical Group Limited
C92,China Haida Ltd.
C9Q,Sinostar Pec Holdings Limited
CC3,Starhub Ltd
CDVZ,Krisenergy S$139.464mz240131
CDWW,Second Chance Prop W200123
CDXW,Krisenergy Ltd. W240131
CEDU,Dasin Retail Trust
CEE,Citic Envirotech Ltd.
CEGW,Upp Holdings Limited W200212
CFA,Nikkoam-stc Asia_xj Reit Etf
CFN,Onestoxxasean Fund
CGN,Best World International Ltd
CGOW,Ta Corporation Ltd W220520
CGP,Noble Group Limited
CH8,China Sunsine Chem Hldgs Ltd.
CHBW,Duty Free Internationalw220513
CHJ,Uni-asia Group Limited
CHZ,Hrnetgroup Limited
CIN,Courage Marine Group Limited
CIOW,Dlc Socgen5xlongmsg 200714
CIPW,Dlc Socgen5xshorthsc 200714
CIQW,Dlc Socgen5xlonghsc 200714
CIRW,Dlc Socgen3xshorthsc 200714
CISW,Dlc Socgen3xlonghsc 200714
CITW,Dlc Socgen5xshorthsi 200714
CIUW,Dlc Socgen5xlonghsi 200714
CIVW,Dlc Socgen3xshorthsi 200714
CIWW,Dlc Socgen3xlonghsi 200714
CIXW,Dlc Socgen5xshortmsg 200714
CJLU,Netlink Nbn Trust
CJN,British & Malayan Hldg Limited
CLN,Apac Realty Limited
CLR,Lion-phillip S-reit Etf
CMGS,Nx18100a 280501
CMHS,N518100e 230201
CMOU,Keppel-kbs Us Reit
CNE,Mindchamps Preschool Limited
